created_at	id	entities|user_mentions|screen_name	entities|media|type	favorite_count	retweet_count	retweeted_status|id	retweeted_status|favorite_count	retweeted_status|retweet_count	retweeted_status|created_at	entities|media|url	text
Mon Dec 29 00:52:33 +0000 2014	549367330648887296	0	photo	1908	1189	0	0	0	0	http://t.co/ATQ7j5C9hP	this baby panda is cheering for u bc u can do anything http://t.co/ATQ7j5C9hP
Mon Dec 29 00:35:57 +0000 2014	549363155566993408	EmrgencyKittens	photo	0	964	549214455629094912	1851	964	Sun Dec 28 14:45:04 +0000 2014	http://t.co/LEW3cBvhH0	RT @EmrgencyKittens: Rare great white land shark http://t.co/LEW3cBvhH0
Mon Dec 29 00:20:01 +0000 2014	549359145963769857	0	photo	1721	466	0	0	0	0	http://t.co/BVB2t5jdJs	Me when I get home from school http://t.co/BVB2t5jdJs
Mon Dec 29 00:00:13 +0000 2014	549354163839459328	0	photo	165	50	0	0	0	0	http://t.co/M97FtiauMu	These costumes are SO good it will make you rethink any costume you ever wore http://t.co/YU1ShJMHrQ||. http://t.co/M97FtiauMu
Sun Dec 28 23:40:01 +0000 2014	549349079021801472	0	photo	3893	1721	0	0	0	0	http://t.co/M7siXFaNMf	when bae has a headache http://t.co/M7siXFaNMf
Sun Dec 28 23:20:04 +0000 2014	549344057856884736	0	photo	1658	806	0	0	0	0	http://t.co/1QXvkUZocl	Current mood. http://t.co/1QXvkUZocl
Sun Dec 28 23:18:49 +0000 2014	549343742562279425	HereBeHuskies	photo	0	1273	548195739965587456	3322	1273	Thu Dec 25 19:17:04 +0000 2014	http://t.co/o0TygYLbjZ	RT @HereBeHuskies: Just the cutest little husky. http://t.co/o0TygYLbjZ
Sun Dec 28 23:18:11 +0000 2014	549343586009894912	0	0	1741	485	0	0	0	0	0	cryin bc when a male penguin falls in love w a female penguin he searches the whole beach to find the perfect pebble to give to her #Respect
Sun Dec 28 22:30:04 +0000 2014	549331475272069122	0	photo	206	60	0	0	0	0	http://t.co/aI9hQHJoaM	10 absolutely crazy items you can purchase on Amazon http://t.co/yDs4qL1K3N||. http://t.co/aI9hQHJoaM
Sun Dec 28 22:15:05 +0000 2014	549327704001355776	0	photo	1313	563	0	0	0	0	http://t.co/XWHFl5akwE	will you guys shut up im trying to sleep http://t.co/XWHFl5akwE
Sun Dec 28 21:30:19 +0000 2014	549316440080531456	0	photo	1734	585	0	0	0	0	http://t.co/xxKMNdg62f	pitbull puppy http://t.co/xxKMNdg62f
Sun Dec 28 20:40:03 +0000 2014	549303788847501312	0	photo	1310	359	0	0	0	0	http://t.co/hwvaGILzUZ	Thanksgiving at the San Francisco Zoo http://t.co/hwvaGILzUZ
Sun Dec 28 20:15:04 +0000 2014	549297500604338177	BarkPost	0	136	68	0	0	0	0	0	Dog regains his site, and what happens when he sees his family for the first time is amazing via @BarkPost https://t.co/uJKZHyV87Y
Sun Dec 28 20:00:18 +0000 2014	549293787366064129	0	photo	1687	569	0	0	0	0	http://t.co/ZZoF8bWVZX	squad goals http://t.co/ZZoF8bWVZX
Sun Dec 28 19:40:06 +0000 2014	549288702363832320	0	photo	3216	1796	0	0	0	0	http://t.co/8RPY7uPNYW	please stop global warming.. http://t.co/8RPY7uPNYW
Sun Dec 28 19:30:23 +0000 2014	549286255192997889	0	photo	79	29	0	0	0	0	http://t.co/M49vCVYfbx	8 hilarious ways little kids are just like drunk adults http://t.co/BUrzs8d6n0||. http://t.co/M49vCVYfbx
Sun Dec 28 19:20:04 +0000 2014	549283662446223360	0	photo	1576	1006	0	0	0	0	http://t.co/ZqJZvALjBD	baby animals make life easier http://t.co/ZqJZvALjBD
Sun Dec 28 18:40:08 +0000 2014	549273610259808256	0	photo	2351	875	0	0	0	0	http://t.co/oKoPaMF5Z9	LOOK AT THEIR LIL TUMMIES http://t.co/oKoPaMF5Z9
Sun Dec 28 18:16:51 +0000 2014	549267749390671873	0	photo	1745	607	0	0	0	0	http://t.co/euREQ1LcBS	Dream big. http://t.co/euREQ1LcBS
Sun Dec 28 18:15:08 +0000 2014	549267318803800064	0	photo	2049	785	0	0	0	0	http://t.co/IZL82Qrm3W	Party time! http://t.co/IZL82Qrm3W
Sun Dec 28 18:00:19 +0000 2014	549263591820771328	0	photo	188	34	0	0	0	0	http://t.co/9jZFZJwblo	If you love animals more than anything one of these jobs might be perfect for you! http://t.co/jNUKHM0Evt||. http://t.co/9jZFZJwblo
Sun Dec 28 17:45:23 +0000 2014	549259831631024128	0	photo	2705	943	0	0	0	0	http://t.co/91KMSqVDBC	Every morning. http://t.co/91KMSqVDBC
Sun Dec 28 17:30:20 +0000 2014	549256044304936960	0	photo	1142	384	0	0	0	0	http://t.co/4JWvhBqPrH	Ooh that's cold! http://t.co/4JWvhBqPrH
Sun Dec 28 16:40:12 +0000 2014	549243429411364865	0	photo	3062	972	0	0	0	0	http://t.co/6JOTi1bKqn	Somebody doesn't like the vet. http://t.co/6JOTi1bKqn
Sun Dec 28 16:30:25 +0000 2014	549240967904382976	0	photo	75	23	0	0	0	0	http://t.co/YfER9GWDDR	Check out the 10 craziest eyes in the animal kingdom. http://t.co/iUsKErJ5WV||. http://t.co/YfER9GWDDR
Sun Dec 28 16:30:22 +0000 2014	549240953878638592	0	photo	412	124	0	0	0	0	http://t.co/UQsiMPfDvq	If you're a fan of cute little pigs you're going to LOVE these 8 little piglets http://t.co/pZC46y5OjV||. http://t.co/UQsiMPfDvq
Sun Dec 28 16:20:14 +0000 2014	549238404022800384	0	photo	2682	1022	0	0	0	0	http://t.co/m11EBS8SAP	Black Friday at petsmart. http://t.co/m11EBS8SAP
Sun Dec 28 16:00:26 +0000 2014	549233421831380992	0	photo	1756	1363	0	0	0	0	http://t.co/qfhjq9VtNW	Omg for me?! http://t.co/qfhjq9VtNW
Sun Dec 28 15:35:08 +0000 2014	549227052394881024	0	photo	1581	607	0	0	0	0	http://t.co/QUSIryRFUe	SHOOT SHOOT SHOOT SHOOT http://t.co/QUSIryRFUe
